,A,B,G,cryst
0,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],c1ccc(cc1)N=Nc1ccccc1,0
1,NC(N)=[NH2+],CC(C)c1ccc(cc1)S(=O)(=O)[O-],COC1CC(C)(C)N([O])C(C)(C)C1,0
2,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc3cc(ccc3cc2c1)S(=O)(=O)[O-],c1cnccn1,0
3,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],N#CCCCCC#N,0
4,[NH3+]C1CCCCC1[NH3+],CCOS(=O)(=O)[O-],CCN(CC)c1ccc2C(=CC(=O)Oc2c1)C,0
5,[nH+]1ccccc1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],S1C=CC=C1C1=CC=CS1,0
6,[nH+]1ccccc1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],Brc1cccc(Br)c1,0
7,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],NC(N)=[NH2+],0
8,[nH+]1ccccc1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],O=C=O,0
9,C[n+]1ccc(cc1)c1cc[n+](C)cc1,Cc1ccc(cc1)S(=O)(=O)[O-],CC(C)C1=CC2=C(C)C=CC2=C(C)C=C1,0
10,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(c2ccccc12)c1ccc(c2ccccc12)S(=O)(=O)[O-],COc1ccc(C=CC)cc1,0
11,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],C1COCCOCCOCCOCCOCCO1,0
12,NC(N)=[NH2+],O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],c1ccc(cc1)C=Cc1ccccc1,0
13,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC(C)C1CCC(C)CC1OC(C)=O,0
14,[nH+]1ccccc1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],S1C=CC2=C1C=CS2,0
15,[NH3+]C(c1ccccc1)(c1ccccc1)c1ccccc1,O=S(=O)([O-])c1ccc2cc3ccccc3cc2c1,Oc1ccccc1C=Nc1ccccc1,0
16,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)S(=O)(=O)[O-],CCCCCC#N,0
17,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(C=Cc2ccc(cc2)S(=O)(=O)[O-])cc1,CC(C)=O,0
18,[NH3+]c1ccccc1[NH3+],Cc1ccc(cc1)S(=O)(=O)[O-],CC(=C)C1CC=C(C)C(=O)C1,0
19,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(OCCOc2ccc(cc2)S(=O)(=O)[O-])cc1,[Cl-],0
20,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],O=S(=O)([O-])CCS(=O)(=O)[O-],0
21,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC(C)C1CCC(C)CC1OC(C)=O,0
22,[NH3+]CCCOCCCCOCCC[NH3+],O=S(=O)([O-])c1cc(c2ccc3c4c(ccc1c24)c(cc3S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-],[Cl-],0
23,[nH+]1ccccc1,O=S(=O)([O-])c1cccc2c1cccc2S(=O)(=O)[O-],CC1(C)CCCC2(C)C1CCC1(C)OC(=O)CC21,0
24,[NH3+]c1ccc(cc1)C(c1ccc([NH3+])cc1)(c1ccc([NH3+])cc1)c1ccc([NH3+])cc1,CS(C)=O,COc1cc(CC=C)ccc1OC(C)=O,0
25,NC(N)=[NH2+],O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],Brc1ccccc1Br,0
26,[NH3+]C(C)(C)C,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CS(C)=O,0
27,[nH+]1ccc(cc1)c1cc[nH+]cc1,OC(=O)c1cc(ccc1C(=O)[O-])S(=O)(=O)[O-],O=C=O,0
28,CCC1=C(C)C2=CC3=[NH+]C(=CC4=C(CC)C(=C(N4)C4=C(C)C(=C(N4)C=C4[NH+]=C(C=C1N2)C(=C4C)CC)C)CC)C(=C3C)C,Cc1ccc(cc1)S(=O)(=O)[O-],Oc1ccc(cc1)c1ccc(O)cc1,0
29,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],OS(=O)(=O)[O-],0
30,[NH3+]CCC,O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],N#Cc1cccc2ccccc12,0
31,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],ClCCCl,0
32,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],C[NH2+]C,0
33,NC(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)c1ccc(cc1)S(=O)(=O)[O-],CC(C)=O,0
