,A,B,G
0,NC(=[NH2+])c1ccc(cc1)C(c1ccc(cc1)C(N)=[NH2+])(c1ccc(cc1)C(N)=[NH2+])c1ccc(cc1)C(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
1,NC(=[NH2+])c1ccc(cc1)C(c1ccc(cc1)C(N)=[NH2+])(c1ccc(cc1)C(N)=[NH2+])c1ccc(cc1)C(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
2,NC(=[NH2+])c1ccc(cc1)C(c1ccc(cc1)C(N)=[NH2+])(c1ccc(cc1)C(N)=[NH2+])c1ccc(cc1)C(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
3,NC(=[NH2+])c1ccc(cc1)C(c1ccc(cc1)C(N)=[NH2+])(c1ccc(cc1)C(N)=[NH2+])c1ccc(cc1)C(N)=[NH2+],O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
4,N[n+]1ccc(cc1)c1cc[n+](N)cc1,O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
5,N[n+]1ccc(cc1)c1cc[n+](N)cc1,O=S(=O)([O-])c1ccc(cc1)C(c1ccc(cc1)S(=O)(=O)[O-])=C(c1ccc(cc1)S(=O)(=O)[O-])c1ccc(cc1)S(=O)(=O)[O-],O
6,[NH2+](C1CCCCC1)C1CCCCC1,Oc1ccc(cc1)S(=O)(=O)[O-],O
7,[NH3+]c1ccc(cc1)C(c1ccc([NH3+])cc1)(c1ccc([NH3+])cc1)c1ccc([NH3+])cc1,O=S(=O)([O-])c1ccc2cc(ccc2c1)S(=O)(=O)[O-],O
8,Nc1[nH+]c(N)nc(N)n1,Oc1c2Cc3cc(cc(Cc4cc(cc(Cc5cc(cc(Cc1cc(c2)S(=O)(=O)[O-])c5O)S(=O)(=O)[O-])c4O)S(=O)(=O)[O-])c3O)S(=O)(=O)[O-],O
9,Nc1ccc(cc1)N=[NH+]c1ccccc1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],CO
10,Nc1ccc(cc1)N=[NH+]c1ccccc1,O=S(=O)([O-])c1ccccc1,[NH3+]c1ccc(cc1)N=Nc1ccccc1
11,Nc1cc[nH+]cc1,OC(=O)c1cc(ccc1O)S(=O)(=O)[O-],O
